Integer;Categorical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical;Numerical;Ordinal;Ordinal;Categorical;Categorical;Label 1;Label 2;Label 3;Label 4;Label 5;Label 6;Label 7
ID;Motorway;SR;NR;TR;VR;SUR1;SUR2;SUR3;UR;FR;OR;RR;BR;MR;CR;Green Frogs;Brown Frogs;Common Toad;Fire-Bellied Toad;Tree Frog;Common Newt;Great Crested Newt
1;A1;82.122665822459;1;1;4;6;2;10;0;0;50;0;0;0;;0;0;0;0;0;0;0
2;A1;70.4226966399163;1;5;1;10;6;10;3;1;75;1;1;0;1;0;1;1;0;0;1;0
3;A1;1193.5891812548177;1;5;1;;6;10;3;4;75;1;1;0;1;0;1;1;0;0;1;0
4;A1;629.8641463331797;1;5;0;6;10;2;3;4;25;0;0;0;1;0;0;1;0;0;0;0
5;A1;-198.91046355669698;2;1;4;;2;6;0;0;99;0;5;0;1;0;1;1;1;0;1;1
6;A1;1381.4261776685373;1;5;1;6;6;10;;0;50;0;0;0;1;0;0;0;0;0;0;0
7;A1;243.68770686382527;1;5;0;;6;10;1;2;25;;0;0;2;0;0;1;0;0;0;0
8;A1;1073.8333416745013;1;5;2;10;6;9;0;0;100;1;1;;1;1;1;0;1;0;0;0
9;A1;110.2550051104999;2;5;1;;1;2;0;1;50;1;0;0;;0;1;1;0;0;0;0
10;A1;90.08816394024416;1;12;4;2;7;6;0;0;75;1;0;0;1;0;1;1;0;0;0;0
11;A1;994.9414400850483;1;;4;;7;1;;0;100;2;1;0;1;1;0;0;0;0;0;0
12;A1;164.44266289433895;1;14;2;1;2;7;0;0;100;2;1;0;1;0;1;1;0;0;0;0
13;A1;;1;1;1;;6;10;3;3;50;;5;0;1;1;0;1;0;0;0;0
14;A1;1533.612249873794;1;1;1;2;6;10;0;1;100;2;2;2;1;1;1;1;0;0;0;0
15;A1;7558.498907841835;1;1;3;;10;7;0;0;100;9;9;;;0;1;1;0;0;0;0
16;A1;29349.254947623704;1;1;3;1;1;1;;;100;2;10;0;1;1;1;1;1;1;0;0
17;A1;1463.2437337521037;1;12;4;;1;1;0;0;100;5;10;0;1;0;1;1;0;1;0;0
18;A1;809.3823235458276;1;15;1;1;1;9;0;0;75;0;5;0;1;0;1;1;0;0;0;0
19;A1;1455.525515668782;3;1;0;;6;2;3;1;75;;1;0;1;1;1;1;1;0;0;0
20;A1;3309.334638067237;6;1;2;6;6;2;3;1;;0;0;0;1;1;0;1;0;1;0;0
21;A1;6858.172347750606;6;;1;;10;2;;4;50;0;0;0;1;1;0;1;0;0;0;0
22;A1;1832.5183683051446;1;1;3;10;2;6;0;1;100;0;1;0;1;1;0;1;0;0;1;0
23;A1;1174.402419740099;1;1;0;;2;7;3;4;100;2;1;0;1;0;1;1;0;0;0;0
24;A1;1541.310311298941;1;1;3;10;6;2;0;0;100;0;0;0;1;0;1;1;0;0;0;0
25;A1;;1;1;2;;2;10;0;0;100;;5;2;1;1;0;0;0;0;1;0
26;A1;3707.887428677388;1;1;1;2;2;9;;2;100;9;9;0;;1;1;1;0;1;0;0
27;A1;-242.3942494107439;1;12;4;;2;1;0;0;100;5;9;0;1;0;1;0;0;0;0;0
28;A1;6685.094570634647;1;1;4;2;2;1;0;0;100;5;5;0;1;0;0;0;1;1;0;1
29;A1;30428.46743373511;1;1;3;;2;1;1;0;100;5;5;;1;1;1;1;0;0;1;1
30;A1;7322.199857693663;1;1;3;2;2;7;0;0;100;0;1;0;;0;1;1;0;1;0;0
31;A1;4435.306336687265;1;;3;;1;7;;;100;;5;0;1;0;1;0;0;1;0;0
32;A1;3071.270053173658;1;1;3;2;9;2;0;0;50;0;1;0;1;0;0;0;0;1;0;0
33;A1;757.7494665683118;1;1;0;;10;6;3;4;100;2;1;0;1;1;1;0;0;0;0;0
34;A1;592.2902711162226;2;1;2;2;10;10;0;0;100;1;5;0;1;0;1;0;0;0;0;0
35;A1;640.6682280384042;1;1;1;;10;10;0;0;100;2;2;0;1;0;1;1;0;0;0;0
36;A1;-203.21855884758224;1;1;0;2;6;10;;4;100;2;2;0;1;0;1;1;0;0;0;0
37;A1;;1;1;2;;10;6;0;0;100;;1;0;1;0;0;0;1;0;0;0
38;A1;499.22786548678596;1;5;1;6;2;10;1;0;75;2;0;0;;0;0;1;0;1;0;1
39;A1;735.8122726714688;1;1;2;;6;10;0;0;;1;1;0;1;0;1;0;0;0;0;0
40;A1;-625.54570551398;1;5;1;7;2;6;3;0;100;2;1;0;1;1;0;0;0;0;0;0
41;A1;80176.53899861888;1;;4;;2;7;;0;100;5;5;0;1;1;0;0;1;1;0;0
42;A1;338.13528284242614;1;12;4;2;2;7;0;0;100;5;5;0;1;0;0;1;1;1;0;0
43;A1;-486.39966775542297;1;11;4;;6;7;0;0;100;;5;;1;0;0;1;0;1;0;0
44;A1;3460.359244175731;1;1;3;7;2;9;0;0;75;0;2;0;1;0;1;0;0;0;0;0
45;A1;29402.92675965188;6;1;0;;7;6;3;4;100;5;5;0;1;1;1;1;0;0;0;0
46;A1;1319.5578378179566;1;12;4;2;7;2;;;100;5;5;0;1;1;1;1;1;1;0;0
47;A1;26495.669153742463;5;1;0;;9;7;3;4;75;0;0;0;1;1;0;0;1;0;0;0
48;A1;41911.93880158974;1;1;1;2;2;6;3;2;100;5;0;0;;1;1;0;1;0;1;0
49;A1;;7;12;4;;6;7;0;0;100;;5;0;1;1;1;0;0;1;1;0
50;A1;944.0522246225961;1;1;2;2;7;6;0;0;75;0;1;0;1;0;1;1;0;0;1;0
51;A1;4978.039356234309;1;;3;;2;2;;0;100;5;5;;1;1;1;1;0;1;0;1
52;A1;5028.444142274415;1;1;3;1;1;2;0;0;100;5;5;0;1;1;1;1;0;0;0;0
53;A1;1555.7124521966543;1;1;4;;2;6;0;0;99;2;2;0;1;0;1;0;0;0;0;0
54;A1;1486.5883105297805;1;1;2;1;7;6;0;0;100;0;1;;1;0;1;0;0;0;1;0
55;A1;-162.42157883976415;1;1;1;;2;1;0;0;100;;5;0;;1;1;1;1;1;1;0
56;A1;1880.4019089300166;2;2;2;7;2;6;;2;100;5;0;0;1;0;1;1;0;0;0;0
57;A1;255.86921247751167;1;14;3;;2;1;0;0;100;5;5;0;1;1;1;1;0;1;1;0
58;A1;438.92284237151034;1;1;2;7;1;10;0;0;;2;2;0;1;0;0;0;0;1;0;0
59;A1;29817.85886390533;4;1;1;;7;6;3;2;100;0;0;0;1;1;1;1;1;0;0;0
60;A1;-1053.1309392694843;1;1;0;1;6;7;3;3;75;0;0;;1;1;0;1;0;0;0;0
61;A1;;1;;2;;7;10;;;100;;5;0;1;1;1;1;1;0;0;0
62;A1;7223.2794943895815;2;2;0;10;1;7;1;2;100;1;1;0;;1;0;1;0;0;0;0
63;A1;18922.62582571798;2;1;1;;6;1;3;3;75;2;0;0;1;1;1;1;1;1;0;0
64;A1;149.43779215563245;1;1;4;2;9;1;0;0;100;1;2;0;1;1;0;1;0;0;0;0
65;A1;2360.5581383523718;1;2;0;;9;2;0;0;50;0;0;0;1;1;1;1;0;0;0;0
66;A1;533.4912414417195;1;12;3;7;2;1;;0;100;5;5;0;1;1;1;0;0;0;0;0
67;A1;81.3076894328201;1;12;4;;2;1;0;0;100;;5;0;1;0;1;0;0;0;0;0
68;A1;299.29802350475387;1;12;4;7;2;6;0;0;100;0;0;0;1;0;1;0;0;0;0;0
69;A1;-380.7552040993653;1;12;4;;2;7;0;0;100;2;5;0;1;0;1;0;0;0;0;0
70;A1;1502.7993789948598;1;11;3;7;1;1;0;0;100;10;10;;1;1;1;1;0;1;0;0
71;A1;409.0267737164216;1;;3;;2;10;;0;100;10;10;0;1;1;1;0;1;0;0;0
72;A1;-446.9493310681239;1;14;3;7;2;1;0;0;100;5;5;0;1;1;1;1;0;0;0;0
73;A1;;1;1;2;;7;9;0;0;75;;0;0;1;0;0;1;0;0;0;0
74;A1;9760.659404775233;1;1;0;7;10;2;3;3;100;5;5;0;1;1;0;0;0;0;0;0
75;A1;-306.68832724787;1;11;4;;10;2;0;0;100;10;10;0;1;1;1;1;0;1;0;0
76;A1;-1461.3050993299835;1;1;2;2;7;6;;;100;2;2;2;1;1;0;0;0;0;0;0
77;A1;930.3264388535129;1;1;3;;2;1;0;0;;5;1;0;1;0;0;0;1;1;0;0
78;A1;73.6786355199738;2;1;0;2;9;1;3;3;100;1;2;0;;0;0;1;0;0;0;0
79;A1;2220.4798697013243;1;1;3;;1;9;0;0;100;;5;;1;0;0;0;0;1;0;0
80;A1;-460.2692883711976;1;12;4;7;1;1;0;0;100;10;10;0;1;1;0;1;0;0;1;0
81;S52;-1020.1016496774913;2;;1;;10;6;;1;100;1;0;0;1;1;1;1;0;1;1;1
82;S52;1009.6679440065851;1;1;0;1;10;6;3;1;100;1;1;0;1;0;1;1;0;0;0;0
83;S52;2320.6459642284453;3;1;4;;10;11;0;0;100;5;5;0;1;0;1;1;0;0;0;0
84;S52;2366.1913281894645;1;15;2;2;11;6;0;0;100;2;5;0;1;0;1;1;0;1;0;0
85;S52;;1;1;2;;10;6;0;1;100;;5;0;1;0;1;1;1;0;1;1
86;S52;8583.916980540711;3;1;2;10;10;10;;1;100;9;9;0;1;1;1;1;0;1;0;0
87;S52;-388.6418053461724;1;15;3;;10;10;0;0;100;9;9;0;1;0;1;1;0;1;0;0
88;S52;177.74397532136072;1;14;1;2;10;10;0;0;100;5;5;0;1;0;1;1;0;1;0;0
89;S52;4002.3031828533026;1;1;2;;6;1;0;0;100;2;2;;1;1;1;1;1;0;1;0
90;S52;-202.9589260549826;1;15;0;2;9;7;0;0;100;1;1;0;1;1;0;0;0;0;0;0
91;S52;17456.43902591075;4;;2;;9;2;;;100;;5;0;1;1;1;1;1;0;1;0
92;S52;754.8303865690842;1;14;1;14;1;6;0;0;100;2;2;0;1;1;1;1;1;0;1;0
93;S52;4583.001126469847;1;1;3;;1;2;0;0;100;2;2;0;1;1;1;1;0;0;1;0
94;S52;-27.508705968621143;1;15;1;1;7;2;0;0;100;5;5;0;1;1;1;0;1;0;1;0
95;S52;4794.131352999999;1;1;0;;10;2;3;2;100;5;5;0;1;1;1;1;1;0;1;0
96;S52;11967.210987069839;1;1;3;1;10;6;;1;;5;5;0;;1;1;1;1;1;1;1
97;S52;;4;1;0;;2;6;0;1;75;;0;0;1;0;1;1;0;1;0;0
98;S52;27369.210341745824;3;1;2;10;6;1;3;3;100;2;0;0;1;1;1;1;1;1;1;1
99;S52;7045.1343635813255;1;1;3;;2;10;0;0;100;1;2;;1;1;1;1;1;1;1;1
100;S52;351.78839152512126;1;7;1;1;10;6;0;0;100;2;5;0;1;1;1;1;1;1;1;1
101;S52;80867.99395611089;2;;1;;6;2;;4;100;2;2;0;1;1;1;1;0;0;0;0
102;S52;479.45853336552636;1;15;1;2;7;2;0;0;100;1;1;0;1;0;1;1;0;0;0;0
103;S52;500955.1734379209;9;1;3;;6;2;3;3;75;;1;0;1;1;1;1;1;1;1;1
104;S52;47665.35628291533;10;1;4;2;10;6;0;0;100;2;2;0;1;1;1;1;1;1;1;1
105;S52;8198.933984646355;1;1;2;;10;6;3;2;100;0;2;0;1;1;1;0;0;0;0;0
106;S52;302.59020098745845;1;1;1;6;10;10;;;25;1;1;;1;1;1;1;0;1;1;0
107;S52;988.0795448502696;1;15;0;;10;6;0;0;100;0;1;0;1;0;1;0;0;0;0;0
108;S52;-863.1143522287102;1;1;1;6;10;10;0;0;50;0;0;0;1;0;1;1;0;1;0;0
109;S52;;1;1;2;;10;6;0;0;100;;5;0;1;1;1;0;0;0;0;0
110;S52;8109.608196799523;2;1;2;1;10;6;3;3;100;2;2;;;1;1;1;0;1;0;0
111;S52;1531.2240124620052;1;;0;;1;6;;2;100;1;2;;1;1;1;1;1;1;1;1
112;S52;-349.1488394608272;2;1;1;1;10;6;0;1;100;0;1;0;1;1;1;1;1;1;1;1
113;S52;1436.956815916281;1;1;3;;1;6;0;0;75;0;1;0;1;1;1;1;1;1;1;0
114;S52;1193.4303853415108;1;1;1;1;10;6;3;2;100;2;2;0;1;1;1;1;1;1;1;0
115;S52;844.2746389718905;1;15;1;;1;6;0;0;;;1;0;1;0;1;1;0;0;0;0
116;S52;1442.570996352777;1;15;1;10;1;6;;0;100;1;1;0;1;0;1;1;0;0;0;0
117;S52;1635.0305734031745;1;15;1;;10;6;1;0;100;1;1;0;1;0;1;0;0;0;0;0
118;S52;4479.749851431563;1;1;3;2;10;6;0;1;100;5;5;0;1;1;1;1;0;0;1;0
119;S52;261.6624078959146;1;1;1;;10;10;3;3;100;5;2;0;1;1;1;0;1;0;1;0
120;S52;1724.2510177134297;1;15;1;1;10;6;0;0;100;5;5;0;;1;0;0;1;0;0;0
121;S52;594.6661322773714;1;;2;;6;1;;;100;;1;0;1;1;1;1;0;0;0;0
122;S52;;1;1;0;10;6;7;3;2;100;1;1;0;1;1;1;1;0;1;1;1
123;S52;2348.9308722845035;1;14;1;;6;2;0;0;100;1;1;0;1;0;1;0;0;0;0;0
124;S52;-866.2090023349405;1;12;2;10;10;2;0;0;50;2;5;0;1;0;1;0;0;0;0;0
125;S52;12.646714019728051;1;15;1;;10;6;0;0;100;0;2;;1;0;0;0;0;0;0;0
126;S52;-584.6630443568954;1;15;1;1;7;6;;0;100;1;1;0;1;0;0;0;0;1;0;0
127;S52;197.654866785678;1;1;1;;10;1;0;0;100;;1;0;1;1;1;1;1;1;1;1
128;S52;-23.45674857812358;1;1;2;10;1;6;0;0;100;1;1;;1;1;1;1;1;1;1;0
129;S52;263.4830493480737;1;15;1;;1;1;0;0;100;5;5;0;1;0;0;0;0;0;0;0
130;S52;1452.5804176183992;1;12;1;1;1;10;0;0;100;2;9;0;;0;1;0;0;0;0;0
131;S52;119.60097621601633;1;;1;;7;10;;0;100;9;9;0;1;0;1;1;1;0;0;0
132;S52;440.75266282432483;1;15;1;1;7;1;0;0;100;2;5;0;1;0;0;0;0;0;0;0
133;S52;;3;1;0;;1;5;0;0;100;;1;0;1;1;1;1;0;0;0;0
134;S52;3232.699460227442;2;2;0;6;7;10;0;0;;1;1;;1;1;0;0;0;0;1;0
135;S52;1729.8308389530182;2;1;0;;6;10;3;4;75;1;1;0;1;1;0;0;0;0;0;0
136;S52;115998.51789200924;5;1;0;10;2;6;;;100;0;1;0;1;1;1;0;0;0;0;0
137;S52;39398.34707154713;4;1;1;;7;6;3;4;100;1;1;0;;1;1;1;1;1;0;0
138;S52;607.0222949473007;1;1;0;6;9;2;3;3;50;0;0;0;1;1;1;1;0;1;0;0
139;S52;2233.9169711429654;1;1;0;;6;6;3;0;25;;0;0;1;1;0;0;0;0;0;0
140;S52;5757.6622218885195;2;1;0;1;10;6;3;4;100;2;1;0;1;1;1;0;0;0;0;0
141;S52;358409.87244793924;12;;1;;1;7;;4;100;1;1;0;1;1;1;1;1;1;1;0
142;S52;3960.076342901412;5;1;1;1;10;2;3;3;100;0;1;0;1;1;1;1;0;1;0;0
143;S52;1441.4954490841606;1;1;1;;6;10;1;3;100;0;0;;1;1;1;1;1;1;1;0
144;S52;2326.159497851758;3;1;1;2;1;10;3;3;100;2;2;0;1;1;1;1;1;1;1;0
145;S52;;1;1;3;;1;6;0;0;100;;1;0;1;1;1;0;0;0;0;0
146;S52;14792.57098387609;2;1;2;2;1;10;;3;100;0;1;0;;1;1;1;0;0;1;0
147;S52;2438.3620885024843;1;1;3;;6;2;0;0;25;0;0;0;1;1;1;1;0;1;1;0
148;S52;1724.443174081325;2;1;3;2;6;10;0;0;75;0;0;;1;1;1;1;1;0;1;0
149;S52;3262.7556414015235;1;1;2;;10;1;0;1;100;1;1;0;1;1;1;1;0;1;1;0
150;S52;1492.4101657326887;1;12;3;2;10;1;0;0;100;1;1;0;1;1;1;1;1;1;0;0
151;S52;2410.2849186061226;2;;2;;2;6;;;50;;1;0;1;1;1;1;0;0;0;0
152;S52;889.0984873359802;1;1;4;9;2;10;0;0;50;0;0;0;1;0;1;0;1;0;0;0
153;S52;1022.1973062388048;1;1;3;;2;6;0;0;;0;0;0;1;1;1;1;0;0;0;0
154;S52;26092.387094759975;3;1;1;1;2;10;3;4;100;1;2;0;1;1;1;1;1;1;1;0
155;S52;-1227.3532165853055;1;1;0;;1;10;3;3;100;1;1;0;;1;1;1;1;1;1;0
156;S52;-290.42642142049317;1;1;3;2;6;5;;0;50;1;1;1;2;1;1;1;0;0;0;0
157;S52;;1;1;2;;1;6;0;0;100;;1;0;1;1;1;1;0;1;1;0
158;S52;-859.8702076360491;1;15;1;1;1;6;0;0;100;1;1;2;1;0;1;0;0;0;0;0
159;S52;1634.5244068727015;1;5;2;;6;10;3;2;100;2;2;0;1;1;1;1;1;1;1;0
160;S52;466.45184599968303;1;12;3;1;2;10;0;0;100;1;2;0;1;0;1;0;0;0;0;0
161;S52;1935.9666234961326;1;;1;;2;10;;0;100;5;5;;1;1;1;1;1;1;1;0
162;S52;1670.4288045111794;1;1;3;2;10;1;0;0;100;5;2;0;1;1;1;1;1;1;1;0
163;S52;-81.60650627230751;1;15;1;;1;10;0;0;100;;5;0;1;0;1;0;0;0;0;0
164;S52;2980.6806813536814;1;1;1;2;6;10;3;3;50;1;0;0;1;1;1;1;0;1;0;0
165;S52;1547.3877200089162;1;1;2;;10;6;0;0;50;0;0;0;1;1;1;1;0;1;0;0
166;S52;1834.707811361329;1;14;1;2;7;10;;;100;2;0;;1;0;1;1;1;0;0;0
167;S52;-312.0723751224923;1;1;3;;2;9;0;0;25;0;0;0;1;1;1;1;1;1;0;0
168;S52;22223.750715966406;1;1;4;6;9;6;0;0;100;0;0;0;;1;1;1;1;1;0;0
169;S52;;1;12;3;;2;1;0;0;100;;0;0;1;0;1;0;0;0;0;0
170;S52;-2016.015466334134;1;12;4;1;10;2;0;0;100;5;5;0;1;0;1;0;0;0;0;0
171;S52;593.7720893066651;2;;3;;6;1;;0;100;0;1;0;1;1;1;1;1;1;1;1
172;S52;889.5428657455689;1;15;1;1;1;9;0;0;;0;1;0;1;0;1;0;0;0;0;0
173;S52;1148.7864916211615;1;15;1;;1;10;0;0;100;9;5;;1;0;1;0;0;0;0;0
174;S52;291.03166634458137;2;1;3;2;6;6;0;0;100;0;0;0;1;0;1;1;1;1;1;1
175;S52;-262.1274616088886;1;1;1;;6;2;0;0;75;;0;0;;0;1;1;1;1;1;1
176;S52;533.4362892712139;1;1;4;2;1;6;;0;100;1;1;0;1;1;0;0;0;1;0;0
177;S52;127.81220247185254;1;14;2;;9;7;0;0;75;0;2;0;1;0;1;0;0;0;0;0
178;S52;316.60029191258127;1;14;2;7;1;9;0;0;75;1;2;0;1;0;1;0;0;0;0;0
179;S52;2791.376401733432;1;5;0;;1;10;3;3;100;5;1;0;2;0;0;0;0;0;0;0
180;S52;2960.254598518667;1;1;4;2;6;7;0;0;100;5;1;;1;1;1;1;0;1;1;0
181;S52;;2;;1;;6;9;;;80;;1;0;1;1;1;1;0;1;1;1
182;S52;-1342.0016596445193;1;12;3;10;1;6;0;0;100;1;2;0;1;0;1;1;0;0;0;0
183;S52;1132.3852818491782;1;1;0;;6;10;1;3;100;1;1;0;1;1;1;1;0;0;0;0
184;S52;3510.419018785076;1;12;4;2;6;10;0;0;100;1;1;0;1;0;1;1;0;0;0;0
185;S52;3103.059915359305;1;12;3;;2;1;0;0;75;2;1;0;1;0;1;0;0;0;0;0
186;S52;-209.38662617295006;1;14;2;7;10;2;;0;100;5;5;;1;1;1;1;1;0;1;0
187;S52;-184.59113200321735;1;1;4;;10;2;0;0;100;;5;0;;1;1;1;1;0;1;0
188;S52;-316.0661848036033;1;12;3;2;1;6;0;0;100;1;0;0;1;0;1;1;0;0;0;0
189;S52;848.0010638116651;1;12;3;;6;10;0;0;100;1;1;;1;0;1;1;0;0;0;0
190;A1;500955.1734379209;5;1;3;10;2;1;0;4;50;0;1;0;2;1;0;0;0;0;1;0
191;S52;-81.60650627230751;1;1;0;10;6;1;0;4;50;1;1;0;2;1;0;0;2;1;0;1
192;S52;115998.51789200924;9;1;3;2;9;6;3;4;75;2;0;0;2;3;1;1;0;2;0;2
193;A1;164.44266289433895;1;14;2;1;2;7;0;0;100;2;1;0;1;0;1;1;0;0;0;0
194;S52;-866.2090023349405;1;12;2;10;10;2;0;0;50;2;5;0;1;0;1;0;0;0;0;0
195;S52;27369.210341745824;3;1;2;10;6;1;3;3;100;2;0;0;1;1;1;1;1;1;1;1
196;S52;889.0984873359802;1;1;4;9;2;10;0;0;50;0;0;0;1;0;1;0;1;0;0;0

